,0_F,0_I,0_M,1,2,3,4,5,6,7,8
3640,0.0,1.0,0.0,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
2404,0.0,1.0,0.0,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
1813,1.0,0.0,0.0,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
429,1.0,0.0,0.0,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18
296,0.0,1.0,0.0,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
1344,0.0,0.0,1.0,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10
434,0.0,1.0,0.0,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13
1,0.0,0.0,1.0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
1269,0.0,1.0,0.0,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
3416,0.0,0.0,1.0,0.56,0.45,0.14,0.9,0.472,0.182,0.218,7
3654,0.0,1.0,0.0,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
2178,1.0,0.0,0.0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15
2210,0.0,0.0,1.0,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18
662,1.0,0.0,0.0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
3968,0.0,1.0,0.0,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
3790,1.0,0.0,0.0,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
1778,1.0,0.0,0.0,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
4098,1.0,0.0,0.0,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,9
2578,0.0,0.0,1.0,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,9
1623,1.0,0.0,0.0,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
1492,1.0,0.0,0.0,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
2854,1.0,0.0,0.0,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
1436,0.0,1.0,0.0,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5
69,0.0,1.0,0.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
3267,1.0,0.0,0.0,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
3325,0.0,0.0,1.0,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
3596,0.0,0.0,1.0,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
1854,0.0,1.0,0.0,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
1556,0.0,1.0,0.0,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7
3564,0.0,1.0,0.0,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9
1311,0.0,1.0,0.0,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
1677,0.0,0.0,1.0,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
1251,0.0,1.0,0.0,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
2400,0.0,1.0,0.0,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13
2013,0.0,0.0,1.0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
681,0.0,0.0,1.0,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
3317,0.0,0.0,1.0,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
3251,0.0,1.0,0.0,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
2553,0.0,1.0,0.0,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,7
3951,1.0,0.0,0.0,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13
1633,0.0,1.0,0.0,0.575,0.425,0.135,0.7965,0.364,0.196,0.239,10
1695,1.0,0.0,0.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
1770,0.0,1.0,0.0,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
1121,0.0,0.0,1.0,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9
3986,1.0,0.0,0.0,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10
3213,1.0,0.0,0.0,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
1637,1.0,0.0,0.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
955,0.0,0.0,1.0,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
1006,0.0,0.0,1.0,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
2364,1.0,0.0,0.0,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
4143,1.0,0.0,0.0,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13
2613,1.0,0.0,0.0,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11
1812,0.0,0.0,1.0,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,10
898,0.0,1.0,0.0,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
1310,0.0,1.0,0.0,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8
666,0.0,0.0,1.0,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
1473,1.0,0.0,0.0,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
3914,0.0,1.0,0.0,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
1763,0.0,0.0,1.0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
3059,1.0,0.0,0.0,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
1454,0.0,1.0,0.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
1627,0.0,0.0,1.0,0.57,0.45,0.14,0.795,0.3385,0.148,0.245,9
1839,0.0,1.0,0.0,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
1547,0.0,1.0,0.0,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,6
3605,0.0,1.0,0.0,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
3971,0.0,1.0,0.0,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
3976,0.0,1.0,0.0,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
2083,0.0,0.0,1.0,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
2835,0.0,0.0,1.0,0.57,0.42,0.14,0.8745,0.416,0.165,0.25,8
3723,0.0,1.0,0.0,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
4051,0.0,0.0,1.0,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
1754,0.0,0.0,1.0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
716,0.0,1.0,0.0,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
2349,1.0,0.0,0.0,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
2027,0.0,0.0,1.0,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9
1469,0.0,0.0,1.0,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
3492,0.0,0.0,1.0,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
3008,1.0,0.0,0.0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
860,1.0,0.0,0.0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
3606,1.0,0.0,0.0,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
2024,0.0,0.0,1.0,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,11
1590,0.0,1.0,0.0,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
700,0.0,0.0,1.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
3541,0.0,1.0,0.0,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
2018,0.0,0.0,1.0,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10
2701,1.0,0.0,0.0,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13
607,0.0,1.0,0.0,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
1657,0.0,0.0,1.0,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
481,0.0,0.0,1.0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
2305,1.0,0.0,0.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
2985,0.0,1.0,0.0,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8
3177,1.0,0.0,0.0,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
3519,0.0,0.0,1.0,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10
535,0.0,1.0,0.0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11
3922,0.0,1.0,0.0,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10
258,1.0,0.0,0.0,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
3768,0.0,0.0,1.0,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9
2073,1.0,0.0,0.0,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
330,0.0,0.0,1.0,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
3230,0.0,0.0,1.0,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
380,0.0,0.0,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
1248,0.0,1.0,0.0,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8
3391,0.0,0.0,1.0,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
3694,0.0,0.0,1.0,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
321,0.0,1.0,0.0,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
564,1.0,0.0,0.0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
675,1.0,0.0,0.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
1214,0.0,1.0,0.0,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
775,0.0,0.0,1.0,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11
172,0.0,0.0,1.0,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
2995,0.0,0.0,1.0,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
2790,1.0,0.0,0.0,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
2686,0.0,0.0,1.0,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11
3132,1.0,0.0,0.0,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10
4102,0.0,0.0,1.0,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
1397,0.0,0.0,1.0,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
818,0.0,1.0,0.0,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6
3257,0.0,0.0,1.0,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
301,1.0,0.0,0.0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
2780,0.0,0.0,1.0,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,10
3212,1.0,0.0,0.0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
3240,0.0,0.0,1.0,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
1911,0.0,0.0,1.0,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
849,0.0,0.0,1.0,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
4038,0.0,1.0,0.0,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,11
2603,1.0,0.0,0.0,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9
1855,0.0,1.0,0.0,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9
545,0.0,0.0,1.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
3222,0.0,0.0,1.0,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18
1086,0.0,1.0,0.0,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
3886,1.0,0.0,0.0,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
3261,1.0,0.0,0.0,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
2112,0.0,0.0,1.0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
3956,1.0,0.0,0.0,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
2943,1.0,0.0,0.0,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
1974,0.0,0.0,1.0,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10
1013,1.0,0.0,0.0,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
397,0.0,0.0,1.0,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
2766,1.0,0.0,0.0,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8
3720,1.0,0.0,0.0,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
978,0.0,0.0,1.0,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
2596,1.0,0.0,0.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
2930,1.0,0.0,0.0,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
2938,1.0,0.0,0.0,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
1602,0.0,1.0,0.0,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
360,0.0,0.0,1.0,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
2249,1.0,0.0,0.0,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
3158,0.0,0.0,1.0,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9
4060,0.0,1.0,0.0,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,8
3464,0.0,0.0,1.0,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
344,1.0,0.0,0.0,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
2612,1.0,0.0,0.0,0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
1197,0.0,0.0,1.0,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12
3977,0.0,1.0,0.0,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
108,1.0,0.0,0.0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
2375,0.0,0.0,1.0,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
1830,0.0,1.0,0.0,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
829,0.0,1.0,0.0,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
291,1.0,0.0,0.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
495,1.0,0.0,0.0,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15
2270,1.0,0.0,0.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18
3695,1.0,0.0,0.0,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10
2705,0.0,0.0,1.0,0.7,0.55,0.2,1.523,0.693,0.306,0.4405,13
3572,1.0,0.0,0.0,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9
3485,0.0,1.0,0.0,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
3027,0.0,1.0,0.0,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8
4062,0.0,0.0,1.0,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9
1689,0.0,0.0,1.0,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
3162,0.0,0.0,1.0,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,15
493,0.0,0.0,1.0,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15
1758,0.0,0.0,1.0,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11
1640,1.0,0.0,0.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
4169,0.0,0.0,1.0,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
159,1.0,0.0,0.0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
484,0.0,0.0,1.0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
2866,0.0,1.0,0.0,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
2883,0.0,1.0,0.0,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8
1617,0.0,1.0,0.0,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
3173,0.0,0.0,1.0,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
800,0.0,0.0,1.0,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
2977,0.0,1.0,0.0,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
987,0.0,0.0,1.0,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
2527,0.0,0.0,1.0,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
2798,0.0,0.0,1.0,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
3306,0.0,1.0,0.0,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10
4139,1.0,0.0,0.0,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10
2870,0.0,1.0,0.0,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7
1044,0.0,0.0,1.0,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8
1751,1.0,0.0,0.0,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
1312,1.0,0.0,0.0,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9
984,0.0,0.0,1.0,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
2094,0.0,1.0,0.0,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
2576,0.0,1.0,0.0,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,7
4122,0.0,1.0,0.0,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
1356,1.0,0.0,0.0,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10
2248,0.0,0.0,1.0,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6
504,1.0,0.0,0.0,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17
2500,1.0,0.0,0.0,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12
413,0.0,0.0,1.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
2848,1.0,0.0,0.0,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
3360,1.0,0.0,0.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19
1632,0.0,0.0,1.0,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
3566,0.0,0.0,1.0,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
2517,0.0,0.0,1.0,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
3023,0.0,1.0,0.0,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
2960,1.0,0.0,0.0,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
2901,0.0,1.0,0.0,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
2935,0.0,0.0,1.0,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
1039,1.0,0.0,0.0,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6
1604,0.0,0.0,1.0,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
3511,0.0,0.0,1.0,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11
3094,0.0,0.0,1.0,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9
2189,1.0,0.0,0.0,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
2844,0.0,0.0,1.0,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10
532,0.0,1.0,0.0,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
995,0.0,0.0,1.0,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
3200,1.0,0.0,0.0,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
2020,0.0,0.0,1.0,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,9
3083,0.0,1.0,0.0,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
2469,0.0,0.0,1.0,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13
881,0.0,0.0,1.0,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
3312,1.0,0.0,0.0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17
3405,0.0,1.0,0.0,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7
3359,0.0,1.0,0.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
819,0.0,1.0,0.0,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
2059,0.0,1.0,0.0,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
632,0.0,0.0,1.0,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
3655,0.0,0.0,1.0,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
3530,0.0,1.0,0.0,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
1987,0.0,1.0,0.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4
3292,1.0,0.0,0.0,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11
130,0.0,0.0,1.0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
2334,1.0,0.0,0.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23
1736,1.0,0.0,0.0,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
157,0.0,0.0,1.0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
1023,1.0,0.0,0.0,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
748,0.0,0.0,1.0,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
1797,0.0,1.0,0.0,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
1962,1.0,0.0,0.0,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
66,1.0,0.0,0.0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
4035,0.0,1.0,0.0,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
4045,0.0,0.0,1.0,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
2061,1.0,0.0,0.0,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
1943,1.0,0.0,0.0,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11
266,0.0,0.0,1.0,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
3912,0.0,1.0,0.0,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
1959,1.0,0.0,0.0,0.65,0.51,0.155,1.189,0.483,0.278,0.3645,13
3461,1.0,0.0,0.0,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
3983,1.0,0.0,0.0,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
3778,0.0,1.0,0.0,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,9
3542,0.0,1.0,0.0,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
3144,1.0,0.0,0.0,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9
833,0.0,1.0,0.0,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
3799,1.0,0.0,0.0,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
2833,1.0,0.0,0.0,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
998,1.0,0.0,0.0,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
2779,0.0,0.0,1.0,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
1178,1.0,0.0,0.0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
273,0.0,0.0,1.0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
2959,1.0,0.0,0.0,0.66,0.525,0.16,1.277,0.4975,0.319,0.394,13
1589,0.0,1.0,0.0,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9
1752,0.0,0.0,1.0,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
3385,1.0,0.0,0.0,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
3047,0.0,0.0,1.0,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9
3852,0.0,0.0,1.0,0.55,0.41,0.15,0.785,0.282,0.186,0.275,12
1591,0.0,0.0,1.0,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
2857,0.0,0.0,1.0,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11
739,0.0,0.0,1.0,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
1586,0.0,1.0,0.0,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
4120,0.0,0.0,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
1558,0.0,1.0,0.0,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,7
2095,0.0,0.0,1.0,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
2322,0.0,0.0,1.0,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12
1975,0.0,0.0,1.0,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
644,0.0,0.0,1.0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
1498,0.0,0.0,1.0,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
3201,1.0,0.0,0.0,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
2698,1.0,0.0,0.0,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,9
3376,0.0,1.0,0.0,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
1641,0.0,0.0,1.0,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
1029,1.0,0.0,0.0,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
1406,1.0,0.0,0.0,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,10
2830,1.0,0.0,0.0,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
4167,0.0,0.0,1.0,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9
2902,0.0,1.0,0.0,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
492,1.0,0.0,0.0,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
15,0.0,0.0,1.0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
2953,1.0,0.0,0.0,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11
3761,0.0,0.0,1.0,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10
2246,1.0,0.0,0.0,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
2150,0.0,0.0,1.0,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
895,0.0,1.0,0.0,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
2093,1.0,0.0,0.0,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
710,0.0,1.0,0.0,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
449,1.0,0.0,0.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
303,0.0,0.0,1.0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
788,1.0,0.0,0.0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
477,0.0,0.0,1.0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
1438,0.0,1.0,0.0,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
1690,0.0,0.0,1.0,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
